iter	Passed	Remaining
638	106616	60232
639	106649	59990
640	106680	59747
641	106712	59506
642	106744	59265
643	106777	59026
644	106809	58786
645	106842	58548
646	106878	58312
647	106910	58074
648	106942	57837
649	106976	57602
650	107007	57366
651	107037	57130
652	107072	56897
653	107102	56662
654	107134	56429
655	107167	56197
656	107199	55965
657	107231	55734
658	107264	55504
659	107297	55274
660	107343	55051
661	107374	54822
662	107405	54593
663	107437	54366
664	107469	54138
665	107505	53914
666	107545	53692
667	107584	53470
668	107618	53246
669	107650	53021
670	107680	52796
671	107711	52573
672	107743	52350
673	107775	52128
674	107809	51908
675	107843	51688
676	107878	51469
677	107911	51250
678	107943	51030
679	107975	50812
680	108009	50594
681	108041	50377
682	108073	50160
683	108109	49945
684	108143	49730
685	108174	49514
686	108207	49299
687	108239	49085
688	108275	48873
689	108309	48660
690	108345	48449
691	108379	48238
692	108410	48026
693	108444	47815
694	108477	47605
695	108511	47395
696	108545	47186
697	108583	46980
698	108614	46771
699	108646	46562
700	108678	46355
701	108711	46148
702	108744	45941
703	108780	45737
704	108814	45532
705	108847	45327
706	108881	45123
707	108915	44920
708	108948	44716
709	108984	44514
710	109018	44312
711	109049	44109
712	109082	43908
713	109118	43708
714	109151	43507
715	109186	43308
716	109217	43108
717	109245	42906
718	109279	42708
719	109312	42510
720	109349	42314
721	109385	42117
722	109419	41921
723	109452	41724
724	109486	41529
725	109525	41336
726	109565	41143
727	109602	40950
728	109637	40757
729	109672	40563
730	109707	40371
731	109740	40178
732	109775	39986
733	109810	39794
734	109843	39603
735	109882	39414
736	109915	39223
737	109946	39032
738	109977	38842
739	110010	38652
740	110043	38463
741	110075	38274
742	110108	38085
743	110144	37899
744	110177	37711
745	110210	37524
746	110246	37339
747	110280	37153
748	110311	36966
749	110345	36781
750	110379	36597
751	110415	36413
752	110451	36230
753	110488	36047
754	110526	35866
755	110563	35684
756	110596	35502
757	110632	35320
758	110669	35140
759	110706	34960
760	110739	34778
761	110772	34598
762	110808	34418
763	110842	34239
764	110874	34059
765	110913	33882
766	110948	33704
767	110983	33526
768	111016	33348
769	111053	33171
770	111089	32995
771	111126	32819
772	111160	32643
773	111193	32467
774	111229	32292
775	111261	32116
776	111290	31940
777	111329	31767
778	111363	31593
779	111397	31419
780	111433	31247
781	111468	31074
782	111506	30902
783	111546	30732
784	111586	30561
785	111619	30390
786	111659	30220
787	111693	30049
788	111728	29879
789	111760	29708
790	111794	29538
791	111829	29369
792	111864	29200
793	111903	29032
794	111940	28865
795	111979	28698
796	112016	28531
797	112050	28363
798	112081	28195
799	112118	28029
800	112152	27863
801	112189	27697
802	112222	27531
803	112253	27365
804	112289	27200
805	112327	27036
806	112364	26872
807	112400	26708
808	112436	26545
809	112471	26382
810	112507	26219
811	112542	26056
812	112579	25894
813	112615	25732
814	112652	25571
815	112688	25410
816	112724	25249
817	112762	25088
818	112797	24928
819	112837	24769
820	112871	24609
821	112908	24449
822	112945	24290
823	112983	24132
824	113017	23973
825	113052	23814
826	113088	23657
827	113125	23499
828	113159	23341
829	113192	23184
830	113229	23027
831	113263	22870
832	113299	22714
833	113336	22558
834	113373	22403
835	113408	22247
836	113445	22092
837	113484	21938
838	113522	21784
839	113562	21630
840	113605	21478
841	113646	21325
842	113688	21173
843	113727	21020
844	113765	20868
845	113803	20715
846	113840	20563
847	113878	20412
848	113914	20260
849	113957	20110
850	113994	19959
851	114030	19808
852	114067	19657
853	114102	19507
854	114139	19356
855	114175	19207
856	114212	19057
857	114252	18908
858	114288	18759
859	114330	18611
860	114371	18464
861	114410	18316
862	114449	18168
863	114487	18021
864	114524	17873
865	114564	17727
866	114603	17580
867	114642	17434
868	114680	17287
869	114717	17141
870	114753	16995
871	114792	16850
872	114831	16705
873	114870	16560
874	114907	16415
875	114949	16271
876	114984	16126
877	115024	15982
878	115065	15839
879	115102	15695
880	115140	15552
881	115180	15409
882	115220	15267
883	115259	15124
884	115299	14982
885	115338	14840
886	115380	14698
887	115418	14557
888	115460	14416
889	115501	14275
890	115550	14135
891	115600	13996
892	115641	13856
893	115681	13716
894	115723	13576
895	115767	13437
896	115806	13297
897	115846	13158
898	115883	13019
899	115923	12880
900	115965	12742
901	116009	12604
902	116050	12466
903	116089	12328
904	116130	12190
905	116171	12053
906	116212	11915
907	116254	11779
908	116294	11642
909	116337	11505
910	116379	11369
911	116423	11233
912	116461	11097
913	116505	10962
914	116545	10826
915	116584	10691
916	116625	10556
917	116662	10420
918	116697	10285
919	116733	10150
920	116774	10016
921	116815	9882
922	116855	9748
923	116895	9614
924	116932	9481
925	116978	9348
926	117019	9215
927	117059	9082
928	117099	8949
929	117138	8816
930	117178	8684
931	117214	8552
932	117254	8420
933	117297	8288
934	117336	8157
935	117376	8025
936	117414	7894
937	117452	7763
938	117491	7632
939	117535	7502
940	117585	7372
941	117636	7243
942	117682	7113
943	117730	6984
944	117776	6854
945	117817	6725
946	117858	6596
947	117898	6467
948	117940	6338
949	117980	6209
950	118019	6080
951	118064	5952
952	118105	5824
953	118144	5696
954	118184	5568
955	118225	5441
956	118268	5314
957	118317	5187
958	118366	5060
959	118429	4934
960	118500	4809
961	118570	4683
962	118636	4558
963	118700	4432
964	118766	4307
965	118832	4182
966	118895	4057
967	118962	3932
968	119017	3807
969	119063	3682
970	119110	3557
971	119154	3432
972	119197	3307
973	119236	3182
974	119278	3058
975	119319	2934
976	119360	2809
977	119402	2685
978	119443	2562
979	119486	2438
980	119531	2315
981	119580	2191
982	119634	2068
983	119688	1946
984	119730	1823
985	119778	1700
986	119814	1578
987	119850	1455
988	119889	1333
989	119930	1211
990	119971	1089
991	120019	967
992	120060	846
993	120101	724
994	120139	603
995	120178	482
996	120222	361
997	120262	241
998	120303	120
999	120349	0
